col,pergunta_forms_atual,destino_no_glpi,formulario_glpi,decisao
24,Qual a prioridade do chamado?,DESCONTINUADA,-,"35% se autoavaliaram como Alta. Prioridade passa a ser calculada por impacto x urgencia"
25,O que esta acontecendo?,Estrutural,Ciclo de Vida,"Vira a escolha Admissao / Mudanca de setor / Desligamento dentro do formulario"
26,Data de inicio (ou data da mudanca/desligamento),Pergunta mantida,Ciclo de Vida,"Obrigatoria. Define a data-alvo do chamado"
27,Nome completo do colaborador,Pergunta mantida,Ciclo de Vida,"E o colaborador objeto, nao o solicitante"
28,Departamento,Pergunta mantida,Ciclo de Vida,"Departamento de destino do colaborador"
29,Cargo,Pergunta mantida,Ciclo de Vida,-
30,Centro de custo,Pergunta mantida,Ciclo de Vida,"Necessario para rateio. Aparece na aprovacao"
31,Conta contabil,Pergunta mantida,Ciclo de Vida,"Necessario para rateio"
32,Equipamento principal,Pergunta mantida,Ciclo de Vida,"Notebook / Desktop / Nenhum"
33,Perifericos necessarios,Pergunta mantida,Ciclo de Vida,"Multipla escolha"
34,Outros itens / necessidades,Pergunta mantida,Ciclo de Vida,"Texto livre"
35,Smartphone (celular corporativo),Pergunta mantida,Ciclo de Vida,"Sim/Nao. Item de custo, entra na aprovacao"
36,Observacoes sobre equipamentos,Pergunta mantida,Ciclo de Vida,-
37,Precisa de e-mail corporativo?,Pergunta mantida,Ciclo de Vida,"Gera tarefa para TI | Microsoft 365 e Automacao"
38,Sugestao de endereco de e-mail,Pergunta condicional,Ciclo de Vida,"Condicional a e-mail = Sim"
39,Precisa de acesso aos e-mails de algum colaborador que saiu?,Pergunta mantida,Ciclo de Vida,"Item sensivel. Exige aprovacao do gestor"
40,Nome do colaborador para transferencia de e-mails,Pergunta condicional,Ciclo de Vida,"Condicional a pergunta anterior = Sim"
41,Licenca Microsoft 365,Pergunta mantida,Ciclo de Vida,"Item de custo recorrente. Entra na aprovacao"
42,Precisa de acesso a rede de arquivos (F:)?,Pergunta mantida,Ciclo de Vida,"Gera tarefa para TI | Acessos e Identidade"
43,Copiar acessos de qual colaborador?,Pergunta condicional,"Ciclo de Vida; Acessos","Copia de perfil. Item sensivel, exige aprovacao"
44,Pastas especificas que precisa acessar,Pergunta condicional,"Ciclo de Vida; Acessos",-
45,Precisa de acesso ao Protheus?,Pergunta mantida,Ciclo de Vida,"Gera tarefa para TI | Sistemas Protheus"
46,Precisa de acesso ao Fluig?,Pergunta mantida,Ciclo de Vida,"Gera tarefa para TI | Sistemas Fluig e Transmite"
47,Precisa de acesso ao Transmite?,Pergunta mantida,Ciclo de Vida,"Gera tarefa para TI | Sistemas Fluig e Transmite"
48,Confirmacao - uso exclusivo do TI,Substituida por permissao,Uso Interno do TI,"Deixa de ser pergunta de honra. O formulario so aparece para o grupo Setor | TI"
49,Qual fornecedor?,Pergunta mantida,Compras e Fornecedores,"Lista de fornecedores + Outro"
50,Numero do ticket (se houver),Pergunta mantida,Compras e Fornecedores,"Ticket externo do fornecedor. Vai para o campo de referencia externa"
51,Descricao do chamado com o fornecedor,Pergunta mantida,Compras e Fornecedores,-
52,Como capturar o erro do SmartClient - Clique em Detalhes,Vira texto de ajuda,Sistemas,"Instrucao, nao pergunta. Bloco de ajuda condicional a Protheus"
53,"Quando abrir o codigo, pressione CTRL+A depois CTRL+C",Vira texto de ajuda,Sistemas,"Instrucao, nao pergunta"
54,"Abra o Bloco de Notas, cole e salve o arquivo",Vira texto de ajuda,Sistemas,"Instrucao, nao pergunta"
55,Salve e anexe no proximo passo,Vira texto de ajuda,Sistemas,"Instrucao, nao pergunta"
56,Anexe esse arquivo junto com o print da tela,Fundida na col 22,Sistemas,"Um unico campo de anexo por formulario. Elimina a duplicidade que quebrava o Fluxo 02"
